grp,id,content,screenname,userId,numFollowers,numFriends,numTweets,numRetweeted,botScore,valence,arousal,dominance,moral1,moral2,moral3
con,1,A singer killed at a meet &amp  greet  and then 50 people are murdered at a nightclub and yet some people still think we don't need gun control,sunnshinecoast,4847697913,100,118,1542,4074205,0,0.215672608,0.801444548,0.465004046,0.988902207,0.415014834,0.13263312
con,2,"@OSU_EMFP thanks for putting ""fight"" in your response. The only thing that will stop a bad person with a gun is a good person with a gun",Truthspeach25,3250976893,54,78,2066,108347,0.116795374,0.82186996,0.66106916,0.035662998,0.075152604,0.937360462,0.900453142
lib,3,I knew that man that had they had put all over the news was not the shooter they so quick to blame a black man cause he had a gun #Dallas,3ilwaa,47174809,435,207,1045,35117,0.057807183,0.583020673,0.890824894,0.792330789,0.966200772,0.784005077,0.679826642
lib,4,When God is traded in for government  prayer gets traded in for law. - Erik Erikson in his latest article of why Left only talks gun control,misspipkelly,66144222,744,600,3011,1552819,0.03265991,0.717057097,0.024636381,0.368988074,0.098140416,0.837281405,0.937054707
con,5,"@rosadelauro As an Italian-American w/DEEP family roots in New Haven, I'm so proud to watch you speak out for gun control. #NoBillNoBreak",hierohero1,3978393134,333,1140,1781,251294,0.100309357,0.285769855,0.037127445,0.557355311,0.209792973,0.571170219,0.673944811
con,6,Chapman was in tears because he gave up 3 runs so so sad...at least no one smacked his head against the wall or threatened him with a gun,fart4trump,7.18E+17,10392,262,450,153771,0.286212062,0.081746948,0.090996684,0.076282844,0.084179764,0.721375046,0.335038632
lib,7,"So a muslim just killed 50 people at a gay bar. Of course, media won't tell you that. They'll just use it as a way to push gun control.",UnderTheGunDoc,3168078271,1599,746,2761,214686,0.085924,0.201560709,0.311821404,0.69145496,0.794101131,0.488735662,0.763999618
lib,8,"@mca_29 so the only thing that stops a bad guy with a guy (after he's killed a minimum of around 10 people) is a good guy with a gun

Yeah..",TIEbrarian,1395103844,277,642,2934,2664590,0.035465933,0.475976787,0.319916243,0.876309843,0.318880256,0.817456158,0.248439368
con,9,@shookw @scottpetri then explain it to me. b/cus u seem 2 say its okay 4 cops 2b scared of that guys gun but no1 should be scared of ur gun,Tolgrohl,182336234,83,117,2652,934576,0.062633878,0.06878678,0.066181693,0.107483802,0.666998284,0.467311782,0.852677408
con,10,"So sad that we have a person in charge that can't even say the words ""radical islam"" and instead instantly goes to gun control ""wakeup",Stalin_M80,4821375093,85,165,1220,102928,0.062633878,0.219910488,0.678676427,0.45937178,0.038978921,0.824984566,0.052719401
