grp,id,screenName,content,valence,harm,arousal,fairness
0,1,Micha3lWittmann,@JeffFlake Nobody wants to hear your 'debate on gun control.' Everyone is sick of your tired cuckservative bullshit. #CluelessGungrabbers,0,2,0.062238241,0.922608738
1,2,cufland,#republican party is revolting #shame on you for no gun control. You slap every Orlando victim in the face - time to lose your jobs,0,2,0.78532693,0.943783252
1,3,Iasthai1283,So just when the fuck ARE we supposed to talk about gun control when there's a mass shooting just about everyday in this country?,0,2,0.8215905,0.586970046
0,4,PeteToma012,"Here we go again...lets punish the over 200,000,000 law abiding gun owners because of a few morons. Fuck you and gun control",0,2,0.806701273,0.46086813
0,5,BobbMessina,"@realDonaldTrump And Again, IT IS THE PROBLEM WITH GUN CONTROL!!  This Moron does not get it!!",0,2,0.881895684,0.048556878
1,6,SeanGrooveAddix,"@SenJohnMcCain You ignorant, decrepit Motherfucker... Give back the 7 million you accepted from the NRA. Your a contributor to gun violence.",0,2,0.358287809,0.901553035
1,7,Neutraljs1,@SpeakerRyan you are a worthless politician. This is what you are wasting time on instead of gun control. I hope you lose your seat.,0,2,0.849483451,0.946518605
0,8,davidmgfic,@piersmorgan Your an idiot! AR-15 didn't kill anyone! Islamic terrorist did. France has some of the most strict gun control didn't help them,0,2,0.447434274,0.131526925
0,9,seekeroftruth12,"@RedEyeFNC  Y'ALL NEED TOO KEEP YOUR DAM MOUTHS SHUT GUN CONTROL NOT THE ANSWER EVERYTIME THERE A SHOOTING IN THIS COUNTRY, GET OVER IT.",0.020833333,2,0.349658619,0.107186323
1,10,abby_sumi,It's a disgusting country to live in when we've become so incredibly desensitized to gun violence. Something has to change.,0.020833333,3,0.438537303,0.30777545
0,11,ScottynCarolina,Insane to think more gun laws will fix this problem!I mean how stupid really are these people!They just want OURGUNS https://t.co/4FoSwAQyba,0.020833333,2,0.513230965,0.807465292
1,12,nursenancy23,@marcorubio Shame on you for voting against the victims of gun violence. You WILL lose this time around. Karma's a bitch. #DisarmHate,0.020833333,2,0.615890233,0.83748264
0,13,MattapussKMJL,@piersmorgan gun control.. your an idiot. Take away the guns and let the black market sell unregulated guns...just like they do drugs now.,0.020833333,2,0.540831343,0.673794884
1,14,CadyKurz,how many people have to die/get injured for people to understand gun violence is a fucking issue,0.020833333,2,0.287042346,0.177175142
0,15,jenfalv,@thenation @PeteSessions  Thoughts and  prayers mean NOTHING when accompanied by  continued inaction on gun violence. Shame on you &amp; NRA!,0.020833333,2,0.189944611,0.415858106
0,16,Jnnyjackpot,"Obama you A-hole, call it what is is Radical Islamic Terrorist pledging allegiance to ISIS. You jack off, it's not a matter of gun control.",0.020833333,3,0.614066552,0.693489524
0,17,Garystrr1984,@adamlambert dude take it from me who served...your an idiot!! He was terrorist and you for gun control are a lost sheep,0.020833333,2,0.553569626,0.433857143
0,18,DennisDecarme,@timkaine WTF are u talking about. There was no gun violence dumb ass. Get the facts straight. https://t.co/MoZ6k1uWim,0.041666667,0,0.987885296,0.720825234
0,19,alexstarrs,Hey cucky crybabies - Fuck Gun Control #NoBillNoBreak https://t.co/VGOAIHznsS,0.041666667,0,0.764810517,0.557291348
