tweet_id,tweet_idx,screenName,rawContent,content,grp,valence,valenceSeq,valenceSeqRank,valencePred,valenceGrpPred,dominance,dominanceSeq,dominanceSeqRank,dominancePred,dominanceGrpPred,care,careSeq,careSeqRank,carePred,careGrpPred,careProb,fairness,fairnessSeq,fairnessSeqRank,fairnessPred,fairnessGrpPred,fairnessProb,authority,authoritySeq,authoritySeqRank,authorityPred,authorityGrpPred,authorityProb,loyalty,loyaltySeq,loyaltySeqRank,loyaltyPred,loyaltyGrpPred,loyaltyProb,purity,puritySeq,puritySeqRank,purityPred,purityGrpPred,purityProb
743291546179502086,0,User0,listening to my wonderful <user> <hashtag> hold the floor </hashtag> and stand by americans who have had enough death from gun violence .,listening to my wonderful <user> <hashtag> hold the floor </hashtag> and stand by americans who have had enough death from gun violence .,1,0.958333333,enough death,2.600101613,0.746983767,1,0.75,americans who have had enough death from gun violence,3.7665663639999996,0.823490858,1,1,listening,2.0495918630000003,0,1,6.704833031000001,2,americans who have had enough death from gun violence,2.3619612919999997,2,1,2.279083729,3,listening,0.84574146,3,0,4.748995304,3,</hashtag> and stand by americans who have had enough,2.678217637,3,0,8.178013802,1,listening,0.790900858,1,0,4.945474625
742861096009097216,1,User1,may the love we are all sending to orlando lead us into urgent action against gun violence <hashtag> we are orlando </hashtag> <url> via <user>,may the love we are all sending to orlando lead us into urgent action against gun violence <hashtag> we are orlando </hashtag> <url> via <user>,1,0.791666667,sending,1.0121179040000001,0.756082296,1,0.5625,orlando lead us into urgent action against gun violence,3.72089842,0.660656631,1,1,to orlando lead us into urgent action against gun,2.674640609,1,1,3.645519495,2,orlando lead us into urgent action against gun violence,3.0150314639999998,2,1,1.800300837,2,may,0.772942887,2,0,3.8550376889999995,3,sending to orlando lead us into urgent action against,3.499559657,3,0,8.671833037999999,1,may,1.075511926,1,0,4.544471741000001
742025003428904960,2,User2,"this is very upsetting . but even after this , no gun control measures will be passed : <url>","this is very upsetting . but even after this , no gun control measures will be passed : <url>",1,0.270833333,passed,1.9173342230000001,0.257106751,1,0.020833333,no gun control measures will be passed,3.717082285,0.18273271600000002,1,2,no gun control measures will be passed,2.858902763,2,1,3.054709673,1,no gun control measures will be passed,2.909628192,1,1,0.6216333510000001,2,this,0.458372016,2,0,5.620898247,2,no gun control measures will be passed,3.39239014,2,0,6.507771015,1,this,0.38517227600000004,1,0,4.566311359
779584496719032320,3,User3,sad times irrespective of gun control issues . <hashtag> seattle </hashtag> <url>,sad times irrespective of gun control issues . <hashtag> seattle </hashtag> <url>,0,0.270833333,sad times irrespective of gun control issues,3.3313008510000004,0.242380753,0,0.0625,sad times irrespective of gun control issues,3.704436257,0.07258790700000001,0,0,sad times irrespective of gun control issues,3.3412181989999996,3,0,5.68407774,1,sad times irrespective,2.587729296,1,0,1.262824178,2,sad,0.702654668,2,0,5.515585422999999,2,seattle </hashtag>,2.238811515,2,0,5.538805485,1,sad,1.020321298,1,0,4.1660366060000005
743578109685825537,4,User4,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,1,0.75,i urge,2.701587153,0.848489761,1,0.895833333,urge my representatives to support sensible gun control measures,3.69446651,0.879304051,1,3,i,0.6662534139999999,0,1,7.671683787999999,2,urge my representatives to support sensible gun control measures,3.420057779,2,1,2.735788822,3,urge my representatives to support,3.107479477,3,0,5.33074522,3,i urge my representatives to support,2.59612436,3,0,7.109548568999999,1,i,0.255947105,1,0,4.553319931
743262040270114816,5,User5,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,1,0.895833333,had,1.110550555,0.975244343,1,0.770833333,<user> for your stalwart leadership to stop gun violence,3.6862666319999997,0.871644497,1,3,has had,2.731160431,0,1,7.275571346,2,<user> for your stalwart leadership to stop gun violence,2.926836877,2,1,2.157347202,3,<user> for your stalwart leadership to stop gun violence,3.224458733,3,0,8.305596352,3,<user> for your stalwart leadership to stop gun violence,2.680985959,3,0,8.205950737,1,thank,0.422429304,1,0,4.852888584
745722572587696128,6,User6,a <hashtag> got </hashtag> meme that perfectly expresses how i feel about the republicans cockblocking gun control . <url>,a <hashtag> got </hashtag> meme that perfectly expresses how i feel about the republicans cockblocking gun control . <url>,1,0.35416666700000005,cockblocking gun control,2.538371997,0.483527243,1,0.3125,how i feel about the republicans cockblocking gun control,3.684691145,0.338467985,1,0,how i feel about the republicans cockblocking gun control,2.669637248,3,1,2.338813782,0,about the republicans cockblocking gun,2.775526391,1,1,0.9354088309999999,0,republicans cockblocking,2.279754268,2,0,4.769311428,2,how i feel about the republicans cockblocking gun control,2.826984108,2,0,6.081147194,1,a,0.462516211,1,0,4.489979267
749629541065166848,7,User7,and somehow gun control is going to stop isis ? <url>,and somehow gun control is going to stop isis ? <url>,0,0.47916666700000005,somehow gun control is,3.017838771,0.297129154,0,0.270833333,and somehow gun control is going to stop isis,3.684344575,0.21830684,0,2,and somehow gun control is going to stop isis,3.1743008089999996,2,0,4.892578125,1,somehow,1.267180014,0,0,0.506829977,2,and somehow,2.418554941,2,1,5.621539116,2,and somehow gun control is going to stop isis,3.4237392410000003,2,0,6.986133575,0,and somehow gun control is going to stop isis,3.059522915,0,0,5.772808552000001
751262297452998656,8,User8,and at the end of the day the government will want to use this situation to push forth gun control laws smh just watch,and at the end of the day the government will want to use this situation to push forth gun control laws smh just watch,0,0.333333333,situation to push forth gun control laws smh just,3.289004652,0.21880863600000003,0,0.375,situation to push forth gun control laws smh just,3.684201578,0.21844041399999997,0,0,situation to push forth gun control laws smh just,3.1445233760000004,3,0,3.922814846,0,situation to push forth gun control laws smh just,2.70356536,2,1,0.792241335,2,and,0.607389843,2,0,5.574009417999999,2,and,0.529937763,3,0,4.469171524,1,and,0.52530651,1,0,5.012228012
745834159353008128,9,User9,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,1,0.958333333,standing up against,3.000385216,0.912623286,1,0.770833333,<user> thank you for standing up against gun violence,3.6694940519999997,0.975965083,1,3,<user>,0.61337091,0,1,8.75357914,2,<user> thank you for standing up against gun violence,3.466032735,2,1,2.4991154669999998,3,<user> thank you for standing up against gun violence,3.5534643060000004,3,0,8.405467987,3,<user> thank you for standing up against,3.468545829,3,0,8.137666702,1,<user>,0.193013762,1,0,4.961042881
