tweet_id,tweet_idx,screenName,rawContent,content,grp,valence,valenceSeq,valenceSeqRank,valencePred,valenceGrpPred,dominance,dominanceSeq,dominanceSeqRank,dominancePred,dominanceGrpPred,care,careSeq,careSeqRank,carePred,careGrpPred,careProb,fairness,fairnessSeq,fairnessSeqRank,fairnessPred,fairnessGrpPred,fairnessProb,authority,authoritySeq,authoritySeqRank,authorityPred,authorityGrpPred,authorityProb,loyalty,loyaltySeq,loyaltySeqRank,loyaltyPred,loyaltyGrpPred,loyaltyProb,purity,puritySeq,puritySeqRank,purityPred,purityGrpPred,purityProb
743578109685825537,4,User4,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,1,0.75,i urge,2.701587153,0.848489761,1,0.895833333,urge my representatives to support sensible gun control measures,3.69446651,0.879304051,1,3,i,0.6662534139999999,0,1,7.671683787999999,2,urge my representatives to support sensible gun control measures,3.420057779,2,1,2.735788822,3,urge my representatives to support,3.107479477,3,0,5.33074522,3,i urge my representatives to support,2.59612436,3,0,7.109548568999998,1,i,0.255947105,1,0,4.553319931
743262040270114816,5,User5,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,1,0.895833333,had,1.110550555,0.975244343,1,0.770833333,<user> for your stalwart leadership to stop gun violence,3.686266632,0.871644497,1,3,has had,2.731160431,0,1,7.275571346,2,<user> for your stalwart leadership to stop gun violence,2.926836877,2,1,2.157347202,3,<user> for your stalwart leadership to stop gun violence,3.224458733,3,0,8.305596352,3,<user> for your stalwart leadership to stop gun violence,2.680985959,3,0,8.205950737,1,thank,0.422429304,1,0,4.852888584
745834159353008128,9,User9,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,1,0.958333333,standing up against,3.000385216,0.912623286,1,0.770833333,<user> thank you for standing up against gun violence,3.669494052,0.975965083,1,3,<user>,0.61337091,0,1,8.75357914,2,<user> thank you for standing up against gun violence,3.466032735,2,1,2.499115467,3,<user> thank you for standing up against gun violence,3.5534643060000004,3,0,8.405467987,3,<user> thank you for standing up against,3.468545829,3,0,8.137666702,1,<user>,0.193013762,1,0,4.961042881
809417151123701761,17,User17,please support lifting the ban on gun violence research <user> via <user> <hashtag> lift the ban </hashtag>,please support lifting the ban on gun violence research <user> via <user> <hashtag> lift the ban </hashtag>,1,0.770833333,ban,0.569189222,0.704328775,1,0.708333333,the ban on gun violence research <user> via <user>,3.631978579,0.7021724579999999,0,3,please,1.014008587,0,1,6.577372074,2,support lifting the ban on gun violence research <user>,3.177972432,2,1,1.978850842,3,please support lifting,1.663364186,3,0,4.410604477,3,via <user>,0.8387548920000001,3,0,5.91677618,1,please,0.596861144,1,0,4.6712899210000005
745702917060042753,21,User21,"we have a mission , a mandate , and a moral obligation to speak up and speak out until the house votes to address gun violence <hashtag> hold the floor </hashtag>","we have a mission , a mandate , and a moral obligation to speak up and speak out until the house votes to address gun violence <hashtag> hold the floor </hashtag>",1,0.875,votes,1.249241112,0.7118378879999999,1,0.833333333,out until the house votes to address gun violence,3.616437759,0.8064169290000001,1,3,votes,2.195072525,0,1,7.564317226,2,out until the house votes to address gun violence,2.272857687,2,1,1.892901659,3,address,1.002429663,3,0,4.118610859,3,we have a mission,2.71759744,3,0,5.883145332000001,1,we,0.389482738,1,0,5.208949089
743508784849399808,23,User23,. <user> thank you for taking action to end gun violence . keep working to change this picture . <url> via <user>,. <user> thank you for taking action to end gun violence . keep working to change this picture . <url> via <user>,1,0.958333333,taking,0.553389155,1.039494872,1,0.770833333,thank you for taking action to end gun violence,3.610580564,0.919007242,1,3,<user> thank you for taking action to end gun,3.850158615,0,1,6.359353542000001,2,thank you for taking action to end gun violence,3.1501777810000005,2,1,2.237701654,3,thank you for taking action to end gun violence,3.325814245,3,0,7.459019184,3,<user> thank you for taking action to end,3.698615401,3,0,8.78866291,1,thank you for taking action to end gun violence,2.220816141,1,0,4.9291114810000005
743603468422766592,33,User33,<user> great job sir for standing against gun violence . thats called a leadership . kudos to you . 👍 👍 👍,<user> great job sir for standing against gun violence . thats called a leadership . kudos to you . 👍 👍 👍,1,0.958333333,called,1.470860417,1.063166976,1,0.854166667,<user> great job sir for standing against gun violence,3.574820172,0.884433925,1,3,thats called,2.9535533810000003,0,1,8.589445114,2,<user> great job sir for standing against gun violence,3.079460432,2,1,1.670829415,3,<user> great job sir for standing against gun violence,3.568207855,3,0,8.522880554,3,<user> great job sir for standing,3.562750209,3,0,7.698456763999999,1,<user>,0.197264658,1,0,5.132635117
743264351826567168,66,User66,<user> thank you for standing up for the vast majority of americans who support gun control ! <hashtag> enough </hashtag> <hashtag> filibuster </hashtag>,<user> thank you for standing up for the vast majority of americans who support gun control ! <hashtag> enough </hashtag> <hashtag> filibuster </hashtag>,1,0.958333333,majority,1.4264324,0.992736042,1,0.854166667,the vast majority of americans who support gun control,3.504745678,0.931286454,1,3,majority,0.77217132,0,1,8.281780243,2,the vast majority of americans who support gun control,2.909994698,2,1,2.737931252,3,the vast majority of americans who support gun control,3.023516313,3,0,8.123744965,3,up for the vast majority of americans who support,2.356472171,3,0,7.930372715,1,<user>,0.195929787,1,0,5.078751564
745837026184933377,70,User70,<user> proud to be texan democrat listening to your speech on house floor . thank you for standing up to gun violence . viva tejas !,<user> proud to be texan democrat listening to your speech on house floor . thank you for standing up to gun violence . viva tejas !,1,0.958333333,speech,2.240474412,0.972364485,1,0.895833333,texan democrat listening to your speech on house floor,3.499660725,0.926204026,1,3,be texan democrat,3.360877085,0,1,8.543872833,2,texan democrat listening to your speech on house floor,2.7301443880000003,2,1,2.076885939,3,texan democrat listening to your speech on house floor,3.206765719,3,0,8.150866508,3,<user> proud to be texan democrat listening to,3.076503971,3,0,7.22894001,1,<user>,0.201669982,1,0,5.310461044
745741727651106817,79,User79,<user> thanks for standing up for common - sense gun control !,<user> thanks for standing up for common - sense gun control !,1,1.0,gun control,0.556194469,0.959902883,1,0.770833333,<user> thanks for standing up for common,3.489412459,0.935843527,1,3,<user>,0.541050048,0,1,7.084305763,2,<user> thanks for standing up for common,3.733037684,2,1,2.834717512,3,<user> thanks for standing up for common,3.057563468,3,1,7.229493141,3,<user> thanks for standing up for,3.273826219,3,0,6.835749149,1,<user>,0.177374322,1,0,4.329739094
768097966846513156,95,User95,. <user> : stand up for our second amendment rights and do not let any new gun control measures pass . <hashtag> nra </hashtag> <hashtag> 2 a </hashtag>,. <user> : stand up for our second amendment rights and do not let any new gun control measures pass . <hashtag> nra </hashtag> <hashtag> 2 a </hashtag>,0,0.666666667,do not let any new gun control measures pass,2.656260635,0.662899435,0,0.666666667,do not let any new gun control measures pass,3.468486847,0.6682150960000001,1,3,do not let any new gun control measures pass,3.463458708,3,1,4.620110512,2,do not let any new gun control measures pass,2.6947840160000003,2,0,0.7638205290000001,3,up,1.707235321,3,0,4.845714092,3,stand up for,1.830265633,3,0,7.171221256,1,do not let any new gun control measures pass,1.996105553,1,0,5.030981541
