9,226
14,221
15,220
17,218
24,211
30,205
34,201
37,198
38,197
44,191
45,190
47,188
50,185
52,183
53,182
60,175
63,172
66,169
71,164
72,163
75,160
77,158
87,148
88,147
92,143
93,142
99,136
101,134
105,130
107,128
110,125
113,122
115,120
117,118
118,117
124,111
125,110
135,100
142,93
145,90
146,89
150,85
155,80
159,76
162,73
165,70
173,62
174,61
176,59
181,54
183,52
188,47
195,40
200,35
207,28
216,19
221,14
233,2
240,5
241,6
244,9
254,19
255,20
257,22
260,25
269,34
275,40
280,45
283,48
287,52
296,61
308,73
319,84
323,88
328,93
334,99
337,102
341,106
342,107
354,119
361,126
372,137
