,tweetId,tweetIdx,group,content,rawContent,screenName,valence,valenceGrpPred,valenceSeq,valenceSeqRank,dominance,dominanceGrpPred,dominanceSeq,dominanceSeqRank,care,careGrpPred,careSeq,careSeqRank,fairness,fairnessGrpPred,fairnessSeq,fairnessSeqRank,loyalty,loyaltyGrpPred,loyaltySeq,loyaltySeqRank,authority,authorityGrpPred,authoritySeq,authoritySeqRank,purity,purityGrpPred,puritySeq,puritySeqRank,pred,prob,clusterId,pdpValue
482,739932475745411100,482,0,best cartoon response to the gun control crowd <allcaps> ever </allcaps> . <url> via <user>,best cartoon response to the gun control crowd <allcaps> ever </allcaps> . <url> via <user>,User482,0.8125,0,best cartoon response to the gun control crowd,3.379844287,0.395833333,0,cartoon response to the gun control crowd <allcaps> ever,3.186890026,0,0,response to the gun control crowd <allcaps> ever </allcaps>,3.265618048,1,0,cartoon response,2.365283679,2,0,response to the gun control crowd <allcaps> ever </allcaps>,3.024297402,2,0,best,1.182528253,1,0,best,1.073614278,1,0.7142857142857143,0,
663,798590451167227900,663,0,happening now . <repeated> gun control debate <url>,happening now . <repeated> gun control debate <url>,User663,0.75,1,debate,0.544063622,0.395833333,0,<repeated> gun control debate,3.096797561,0,0,<repeated> gun control debate,2.937620174,1,0,control debate,2.41914606,2,0,<repeated> gun control debate,2.930378599,2,0,happening,1.926026065,1,0,happening,1.45119197,1,0.7142857142857143,0,
1226,742830738307973100,1226,1,worth a watch : obama on second amendment rights / gun control <url>,worth a watch : obama on second amendment rights / gun control <url>,User1226,0.770833333,0,obama on second amendment rights,2.857694034,0.395833333,0,obama on second amendment rights,2.851980569,0,0,obama on second amendment rights,2.862459076,1,0,second amendment rights,0.930808039,2,0,worth a watch,2.759118868,3,0,obama,0.66886729,1,0,worth,1.622815063,1,0.7142857142857143,0,
1268,833141241726517200,1268,0,seven defensive gun uses by people lawfully carrying a gun over the last week <url> by <hashtag> godless nz </hashtag> via <user>,seven defensive gun uses by people lawfully carrying a gun over the last week <url> by <hashtag> godless nz </hashtag> via <user>,User1268,0.729166667,0,carrying a gun over the last week <url> by,2.277478225,0.395833333,0,lawfully carrying a gun over the last week <url>,2.832193303,0,0,carrying a gun over the last week <url> by,2.965443525,1,0,seven defensive gun,2.12804757,2,0,carrying a gun over the last week <url> by,3.192785308,2,1,seven,1.616002499,1,0,seven,1.384557237,1,0.7142857142857143,0,
2517,742021798758252500,2517,0,jim jefferies - - gun control ( part <number> ) from <allcaps> bare </allcaps> - - netflix special <url>,jim jefferies - - gun control ( part <number> ) from <allcaps> bare </allcaps> - - netflix special <url>,User2517,0.666666667,0,gun control,0.49426509,0.395833333,0,from <allcaps> bare,2.141254551,0,0,part <number>,2.111975111,1,0,jim,1.597128519,2,0,from <allcaps> bare </allcaps>,2.78353485,2,0,jim,1.911945794,1,0,jim,1.106437026,1,0.7142857142857143,0,
2821,789325866455011300,2821,1,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,User2821,0.666666667,1,took,0.811611549,0.395833333,1,gun violence prevention ” in the hillary <number> app,1.550286672,0,1,gun violence prevention ” in the hillary <number> app,1.514029216,1,1,just took the quiz “ gun violence prevention ”,1.634482435,2,0,<url>,0.48275608,2,0,just,0.631373768,1,0,just,0.437720048,1,0.7142857142857143,0,
2822,794124845135134700,2822,1,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,User2822,0.666666667,1,took,0.811611549,0.395833333,1,gun violence prevention ” in the hillary <number> app,1.550286672,0,1,gun violence prevention ” in the hillary <number> app,1.514029216,1,1,just took the quiz “ gun violence prevention ”,1.634482435,2,0,<url>,0.48275608,2,0,just,0.631373768,1,0,just,0.437720048,1,0.7142857142857143,0,
2823,778414973672226800,2823,1,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,User2823,0.666666667,1,took,0.811611549,0.395833333,1,gun violence prevention ” in the hillary <number> app,1.550286672,0,1,gun violence prevention ” in the hillary <number> app,1.514029216,1,1,just took the quiz “ gun violence prevention ”,1.634482435,2,0,<url>,0.48275608,2,0,just,0.631373768,1,0,just,0.437720048,1,0.7142857142857143,0,
2824,789325918644777000,2824,1,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,just took the quiz “ gun violence prevention ” in the hillary <number> app - <url> <url>,User2824,0.666666667,1,took,0.811611549,0.395833333,1,gun violence prevention ” in the hillary <number> app,1.550286672,0,1,gun violence prevention ” in the hillary <number> app,1.514029216,1,1,just took the quiz “ gun violence prevention ”,1.634482435,2,0,<url>,0.48275608,2,0,just,0.631373768,1,0,just,0.437720048,1,0.7142857142857143,0,
3049,774113640123215900,3049,0,<allcaps> the world of charts </allcaps> — <allcaps> a look </allcaps> backday <number> : on gun control <url>,<allcaps> the world of charts </allcaps> — <allcaps> a look </allcaps> backday <number> : on gun control <url>,User3049,0.666666667,1,a look,2.386374601,0.395833333,0,gun control,0.73312133,0,0,charts </allcaps> — <allcaps> a look </allcaps> backday <number>,2.679448632,1,1,on gun control,2.362397184,2,0,charts </allcaps> — <allcaps> a look </allcaps> backday <number>,3.19362448,2,0,<allcaps>,0.427252674,1,0,<allcaps>,0.295800103,1,0.7142857142857143,0,
